,comment_text,target
170,     s a wise and powerful tale of race and culture forcefully told     with superb performances throughout ,1
171,maladjusted teens in a downward narcotized spiral ,0
172,defeated by a screenplay that forces them into bizarre     implausible behavior ,0
173,    one would hope for the best ,1
174,get on a board and     uh     shred     ,0
175,bad animation and ,0
176,it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse     marvelously twisted shapes history has taken     ,1
177,the great pity ,0
178,unbalanced mixture ,0
179,an elegant visual sense and a talent ,1
180,it eventually works its way up to merely bad rather than painfully awful     ,0
181,when you find yourself rooting for the monsters in a horror movie     you know the picture is in trouble     ,0
182,has bitten off more than he or anyone else could chew ,0
183,the movie is ugly to look at and not a hollywood product ,0
184,    cho      s face is     an amazing slapstick instrument     creating a scrapbook of living mug shots     ,1
185,the high     concept scenario soon proves preposterous     the acting is robotically italicized     and truth     in     advertising hounds take note     there      s very little hustling on view ,0
186,    evoking memories of day of the jackal     the french connection     and heat     ,1
187,is one film that      s truly deserving of its oscar nomination ,1
188,     s     quite a bit of heart     as you would expect from the directors of the little mermaid and aladdin ,1
189,plays like a tired tyco ad     ,0
190,the biggest problem ,0
191,some charm and heart ,1
192,    you have to give the audience a reason to want to put for that effort ,0
193,to make their way through this tragedy ,0
194,it looks like an action movie     but it      s so poorly made     on all levels     that it does n     t even qualify as a spoof of such     ,0
195,simply a re     hash of the other seven films     ,0
196,enlivens ,1
197,about which you can actually feel good ,1
198,    there      s no way you wo n     t be talking about the film once you exit the theater     ,1
199,a hit       ,1
200,many of these gross ,0
201,right ,1
202,to squeeze a few laughs out of the material ,0
203,feels stitched together from stock situations and characters from other movies     ,0
204,be an important movie     or even a good one ,1
205,fascinating study ,1
206,goes to absurd lengths to duck the very issues it raises ,0
207,in this tepid genre offering ,0
208,just such a dungpile that you      d swear you ,0
209,birot      s ,0
210,it seems impossible that an epic four     hour indian musical about a cricket game could be this good     but it is ,1
211,    it      s     a clever thriller with enough unexpected twists to keep our interest     ,1
212,wannabe film ,0
213,believe that nachtwey hates the wars he shows and empathizes with the victims he reveals ,1
214,alternately melancholic     hopeful ,1
215,it      s possible that something hip and transgressive was being attempted here that stubbornly refused to gel     but the result is more puzzling than unsettling     ,0
216,an astonishing voice cast     excepting love hewitt         an interesting racial tension     and ,1
217,is to substitute plot for personality ,0
218,knucklehead ,0
219,a sweet and modest and ultimately winning story ,1
220,even if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n     t fade amid the deliberate     tiresome ugliness     it would be rendered tedious by avary      s failure to construct a story with even a trace of dramatic interest     ,0
221,odd and ,0
222,a very good     but not great     movie ,1
223,is suspenseful and ultimately unpredictable     with a sterling ensemble cast     ,1
224,deals with its subject matter in a tasteful     intelligent manner     rather than forcing us to endure every plot contrivance that the cliché     riddled genre can offer     ,1
225,it does sustain an enjoyable level of ridiculousness ,1
226,charming in comedies like american pie and dead     on in election ,1
227,superficial humor ,0
228,neatly constructed thriller ,1
229,made the original men in black such a pleasure ,1
230,but it was n     t horrible either ,1
231,its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie      s presentation     which is way too stagy     ,0
232,is a film that      s about as subtle as a party political broadcast ,0
233,who has lived her life half     asleep suddenly wake up ,1
234,engaging enough to keep you from shifting in your chair too often ,1
235,of what made old     time b movies good     bad that makes eight legged freaks a perfectly entertaining summer diversion ,1
236,rather cold     blooded comedy ,0
237,this is a must     ,1
238,ultimate ,1
239,is doa     ,0
240,has arrived for an incongruous summer playoff     demonstrating yet again that the era of the intelligent     well     made b movie is long gone ,0
241,putrid writing     direction and timing with a smile that says           if i stay positive     maybe i can channel one of my greatest pictures     drunken master           ,0
242,an athlete     a movie star ,1
243,flat     out amusing     sometimes endearing and often fabulous     with a solid cast     noteworthy characters     ,1
244,is a fast     frenetic     funny     even punny 6            aimed specifically at a grade     school audience ,1
245,really     really good things can come in enormous packages ,1
246,captures all the longing     anguish and ache     the confusing sexual messages and the wish to be a part of that elusive adult world     ,1
247,     s a rather listless amble down the middle of the road     where the thematic ironies are too obvious and the sexual politics too smug ,0
248,this retooled machine is ultimately effective enough at achieving the modest     crowd     pleasing goals it sets for itself     ,1
249,           brown sugar            admirably aspires to be more than another            best man            clone by weaving a theme throughout this funny film     ,1
250,the most ingenious film comedy since being john malkovich     ,1
251,seems content to dog     paddle in the mediocre end of the pool     ,0
252,it      s pleasant enough and its ecological     pro     wildlife sentiments are certainly welcome     ,1
253,of control on a long patch of black ice ,0
254,often watchable     though goofy and lurid     ,1
255,is a thoughtful examination of faith     love and power     ,1
256,it does in trouble every day ,1
257,keeps adding flourishes            artsy fantasy sequences            that simply feel wrong ,0
258,wimps out by going for that pg     13 rating     so the more graphic violence is mostly off     screen ,0
259,i      m not a fan of the phrase       life affirming       because it usually means       schmaltzy           but real women have curves truly is life affirming     ,1
260,the touch is generally light enough ,1
261,who is chasing who or ,0
262,includes a fair share of dumb drug jokes and predictable slapstick ,0
263,the film is grossly contradictory in conveying its social message     if indeed there is one     ,0
264,about the worst thing ,0
265,ride for the kiddies     with enough eye candy and cheeky wit to keep parents away from the concession stand     ,1
266,that drifts aimlessly for 90 minutes before lodging in the cracks of that ever     growing category ,0
267,metropolis you hate to tear your eyes away from the images long enough to read the subtitles ,1
268,           red dragon            is entertaining     ,1
269,the whole talking     animal thing is grisly     ,0
270,delivers ,1
271,a patient viewer ,1
272,understanding a unique culture that is presented with universal appeal ,1
273,     ll find it with ring     an indisputably spooky film     with a screenplay to die for ,1
274,all the queen      s men is a throwback war movie that fails on so many levels     it should pay reparations to viewers     ,0
275,the lady and the duke surprisingly ,1
276,a tribute to the power of women to heal ,1
277,blank yearning ,0
278,wildly popular vin diesel ,1
279,byron and luther ,1
280,as darkly funny     ,1
281,    schaeffer      s film never settles into the light     footed enchantment the material needs     and the characters       quirks and foibles never jell into charm     ,0
282,with amazing finesse     the film shadows heidi      s trip back to vietnam and the city where her mother     mai thi kim     still lives     ,1
283,sci     fi drama that takes itself all too seriously     ,0
284,more of an ordeal than an amusement ,0
285,did n     t mean much to me ,0
286,weighted down with slow     uninvolving storytelling and ,0
287,too campy to work as straight drama ,0
288,a film that is an undeniably worthy and devastating experience ,1
289,in the end     the movie bogs down in insignificance     saying nothing about kennedy      s assassination and revealing nothing about the pathology it pretends to investigate     ,0
290,promises a new kind of high but delivers the same old bad trip ,0
291,is silly beyond comprehension ,0
292,snow white ,1
293,spin hopelessly out of control            that is to say ,0
294,that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type ,1
295,a smart     ,1
296,her complicated characters be unruly     confusing and     through it all     human ,1
297,rigid and evasive in ways ,0
298,mishandle the story      s promising premise of a physician who needs to heal himself     ,0
299,crudely literal ,0
300,shapeless documentary ,0
301,never seems hopelessly juvenile     ,0
302,am more offended by his lack of faith in his audience than by anything on display here ,0
303,a war tribute is disgusting to begin with ,0
304,being recognized as the man who bilked unsuspecting moviegoers ,0
305,content merely ,1
306,refreshingly forthright one ,1
307,about nothing ,0
308,illustrates why the whole is so often less than the sum of its parts in today      s hollywood ,0
309,its namesake proud ,1
310,a movie that accomplishes so much that one viewing ca n     t possibly be enough ,1
311,souvlaki can you take before indigestion sets in ,0
312,has some of the funniest jokes of any movie this year     including those intended for adults ,1
313,peevish ,0
314,if you value your time and money     find an escape clause and avoid seeing this trite     predictable rehash     ,0
315,that takes an astonishingly condescending attitude toward women ,0
316,an otherwise appalling     and downright creepy     subject            ,0
317,a bonus feature ,1
318,     s     a clever thriller with enough unexpected twists to keep our interest ,1
319,one long     numbing action sequence made up mostly of routine stuff yuen has given us before     ,0
320,remarkable procession of sweeping pictures ,1
321,it was co     written by mattel executives and lobbyists for the tinsel industry ,0
322,believable that you feel what they feel ,1
323,     s a bad sign in a thriller when you instantly know whodunit ,0
324,the action as gripping ,1
325,it does n     t make any sense ,0
326,lukewarm and quick to pass ,0
327,as chilling and fascinating as philippe mora      s modern hitler     study     snide and prejudice     ,1
328,weirdo actor crispin glover ,0
329,like a bad idea from frame one ,0
330,leading to a tragedy which is somehow guessable from the first few minutes     maybe because it echoes the by now intolerable morbidity of so many recent movies ,0
331,heralds something special ,1
332,a tattered and ugly past with rose     tinted glasses ,0
333,be liked sometimes ,1
334,is even worse ,0
335,     s left of his passe       chopsocky glory ,0
336,ignite sparks ,1
337,devotees of star trek ii     the wrath of khan will feel a nagging sense of deja vu     and the grandeur of the best next generation episodes is lacking ,0
338,may be too narrow to attract crossover viewers     ,0
339,shrewd enough to activate girlish tear ducts does n     t mean it      s good enough for our girls ,0
340,than into the script     which has a handful of smart jokes ,1
341,can take credit for most of the movie      s success     ,1
342,heartwarming and gently comic even as the film breaks your heart ,1
343,in all its strange quirks ,1
344,of that on the cinematic front     look no further than this 20th anniversary edition of the film that spielberg calls ,1
345,the humans are acting like puppets ,0
346,     s the sweet cinderella story ,1
347,transcendent performance ,1
348,liked about schmidt a lot ,1
349,a sleep     inducing thriller with a single ,0
350,deeply biased     and wholly ,0
351,often watchable     though goofy and lurid     blast ,1
352,of gritty realism     crisp storytelling and radiant compassion that effortlessly draws you in ,1
353,no solace here     no entertainment value     ,0
354,of warmth ,1
355,astonishingly skillful and moving           it could become a historically significant work as well as a masterfully made one ,1
356,coming     of     age drama ,1
357,a huge mess ,0
358,    is a treat     ,1
359,recycled plot ,0
360,has fallen ,0
361,     s just grating ,0
362,     s really well directed ,1
363,sometimes almost senseless ,0
364,a beguiling evocation ,1
365,what sets it apart is the vision that taymor     the avant garde director of broadway      s the lion king and the film titus     brings     ,1
366,is corny in a way that bespeaks an expiration date passed a long time ago     ,0
367,do n     t ,0
368,a lyrical metaphor for cultural and personal self     discovery and a picaresque view ,1
369,less     than     thrilling thriller     ,0
370,these broken characters who are trying to make their way through this tragedy ,0
371,disappointing in comparison ,0
372,ideas and special     interest groups ,1
373,as cleverly plotted as the usual suspects ,1
374,    then this first film to use a watercolor background since            dumbo            certainly ranks as the most original in years     ,1
375,i      d be lying if i said my ribcage did n     t ache by the end of kung pow     ,1
376,an in     depth portrait ,1
377,together familiar themes ,1
378,who makes oliver far more interesting than the character      s lines would suggest ,1
379,despite an impressive roster of stars and direction from kathryn bigelow     the weight of water is oppressively heavy     ,0
380,a faulty premise     one it follows into melodrama and silliness ,0
381,a fair amount of b     movie excitement ,1
382,wastes its time on mood rather than ,0
383,that keeps dickens evergreen     the exuberant openness with which he expresses our most basic emotions ,1
384,bolstered by an astonishing voice cast     excepting love hewitt         an interesting racial tension     and a storyline that i have n     t encountered since at least pete      s dragon     ,1
385,giggling ,1
386,     s a lousy one at that     ,0
387,     s self     defeatingly decorous ,0
388,it has fun with the quirks of family life     but ,1
389,of those so     so films that could have been much better ,0
390,histrionic ,0
391,overacted ,0
392,like a high     end john hughes comedy     a kind of elder bueller      s time out ,1
393,that it seems the film should instead be called       my husband is travis bickle       ,0
394,a charming     banter     filled comedy           one of those airy cinematic bon bons whose aims            and by extension     accomplishments            seem deceptively slight on the surface     ,1
395,is one baaaaaaaaad movie     ,0
396,is in bad need of major acting lessons and maybe a little coffee     ,0
397,exploitative garbage ,0
398,rubber     face routine ,0
399,spiffy bluescreen technique and stylish weaponry ,1
400,seeing something purer than the real thing ,1
401,so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks ,0
402,thriller junk ,0
403,less a movie ,0
404,this u     boat does n     t have a captain     ,0
405,the real star of this movie is the score     as in the songs translate well to film     ,1
406,hard to imagine anybody ever being            in the mood            to view a movie as harrowing and painful as the grey zone ,0
407,is left with the inescapable conclusion that hitchens       obsession with kissinger is     at bottom     a sophisticated flower child      s desire to purge the world of the tooth and claw of human power ,1
408,subjected to farts     urine     feces     semen     or any of the other foul substances ,0
409,it      s burns       visuals     characters and his punchy dialogue     not his plot     that carry waydowntown     ,1
410,soulful     scathing and ,1
411,script error ,0
412,          also one of the most curiously depressing ,0
413,    the film certainly does n     t disappoint     ,1
414,a colorful     joyous celebration of life     ,1
415,pure ,1
416,     s really just another major league     ,0
417,unlikable     uninteresting     ,0
418,immensely appealing couple ,1
419,that relays its universal points without lectures or confrontations ,1
420,touch you to the core in a film you will never forget            that you should never forget ,1
421,    the movie is powerful and provocative     ,1
422,supposedly     pokemon ca n     t be killed     but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over     ,0
423,now it is a copy of a copy of a copy ,0
424,to lose the smug self     satisfaction usually associated with the better private schools ,0
425,interesting cinematic devices     cool visual backmasking         ,1
426,walked out muttering words like            horrible            and            terrible ,0
427,ca n     t rescue brown sugar from the curse of blandness     ,0
428,surprising emotional depth ,1
429,does n     t even seem like she tried ,0
430,best and most mature ,1
431,the result is somewhat satisfying            it still comes from spielberg     who has never made anything that was n     t at least watchable     ,1
432,odd and intriguing ,1
433,a delicious crime drama on par with the slickest of mamet ,1
434,takes a fresh and absorbing look at a figure whose legacy had begun to bronze     ,1
435,about as exciting to watch as two last     place basketball teams ,0
436,a solid and refined piece of moviemaking ,1
437,          portrays young brendan with his usual intelligence and subtlety     not to mention a convincing brogue     ,1
438,hardened indie     heads ,0
439,gorgeous to look at but insufferably tedious and turgid           ,0
440,teasing ,0
441,recent hollywood trip tripe ,0
442,contenders ,1
443,to infamy ,0
444,above the level of a telanovela ,0
445,               they      re out there                ,1
446,is impressive     ,1
447,of women torn apart by a legacy of abuse ,0
448,to get by on humor that is not even as daring as john ritter      s glory days on three      s company ,0
449,little action     almost no suspense or believable tension     one     dimensional characters up ,0
450,ride around a pretty tattered old carousel     ,0
451,for the film      s winning tone ,1
452,a sheer unbridled delight in the way ,1
453,in modern alienation ,0
454,savor whenever the film      s lamer instincts are in the saddle ,0
455,you      re willing to have fun with it ,1
456,is a welcome and heartwarming addition to the romantic comedy genre     ,1
457,one hour photo may seem disappointing in its generalities     but it      s the little nuances that perhaps had to escape from director mark romanek      s self     conscious scrutiny to happen     that finally get under your skin ,0
458,form at once visceral and spiritual     wonderfully vulgar and sublimely lofty            and as emotionally grand as life ,1
459,fantastically vital ,1
460,are an absolute joy ,1
461,is horrible ,0
462,competent     unpretentious ,1
463,an intriguing and alluring premise ,1
464,a grenade ,0
465,about death ,0
466,a story that is so far     fetched it would be impossible to believe if it were n     t true ,0
467,unlikable     uninteresting     unfunny     and ,0
468,a terribly obvious melodrama and rough     hewn vanity project for lead actress andie macdowell ,0
469,clumsy cliché ,0
470,     s so tedious that it makes you forgive every fake     dishonest     entertaining and     ultimately     more perceptive moment in bridget jones      s diary ,0
471,    shyamalan     continues to cut a swathe through mainstream hollywood     while retaining an integrity and refusing to compromise his vision     ,1
472,value cash above credibility     ,0
473,to be influenced chiefly by humanity      s greatest shame ,0
474,the few       cool       actors ,1
475,is one of the rare directors who feels acting is the heart and soul of cinema ,1
476,mostly fool      s ,0
477,impressively delicate range ,1
478,around to capture the chaos of france in the 1790      s ,1
479,    tries     ,1
480,    i hate it     ,0
481,is one of the rarest kinds of films     a family     oriented non     disney film that is actually funny without hitting below the belt     ,1
482,that kind of impact on me these days ,1
483,demeaning its subjects ,0
484,obscenely bad dark comedy ,0
485,enormous packages ,1
486,the sally jesse raphael atmosphere ,0
487,a huge sacrifice ,1
488,never plays as dramatic even when dramatic things happen to people     ,0
489,not one clever line of dialogue ,0
490,irksome     tiresome nature ,0
491,stirring road movie     ,1
492,strong dramatic and emotional pull ,1
493,appeal beyond being a sandra bullock vehicle or a standard romantic comedy ,1
494,means a great movie     but it is a refreshingly forthright one     ,1
495,freely ,1
496,is quite beautiful ,1
497,will have a showdown ,1
498,fun     for     fun ,1
499,the emotion or timelessness of disney      s great past     or ,1
500,yet lacking about everything ,0
501,of patch adams quietly freaking out ,1
502,     s mildly entertaining     ,1
503,does n     t have big screen magic ,0
504,the feeble examples of big     screen poke     mania ,0
505,it      s painful to watch witherspoon      s talents wasting away inside unnecessary films like legally blonde and sweet home abomination     i mean     alabama           ,0
506,a fragment of an underdone potato ,0
507,interesting cinematic devices ,1
508,shaped the story to show us why it      s compelling ,1
509,thick with wit it plays like a reading from bartlett      s familiar quotations ,1
510,cheesiest ,0
511,young hanks and fisk     who vaguely resemble their celebrity parents     bring fresh good looks and an ease in front of the camera to the work     ,1
512,african american professionals ,1
513,his own preoccupations and obsessions ,1
514,howard and his co     stars all give committed performances     but ,1
515,volatile ,0
516,is the most disappointing woody allen movie ,0
517,with a lower i   q    than when i had entered ,0
518,an uncluttered     resonant gem that relays its universal points without lectures or confrontations     ,1
519,be surefire casting ,1
520,     s appealingly manic and energetic ,1
521,feature to hit theaters since beauty and the beast 11 years ago ,1
522,an extraordinary poignancy     and the story ,1
523,originality ,1
524,works because of the universal themes     earnest performances           and excellent use of music by india      s popular gulzar and jagjit singh     ,1
525,whose portrait of a therapy     dependent flakeball ,0
526,to call this film a lump of coal would only be to flatter it     ,0
527,does a solid job of slowly     ,1
528,sandra bullock and hugh grant make a great team     but this predictable romantic comedy should get a pink slip ,0
529,mostly works because of the universal themes     earnest performances           and excellent use of music by india      s popular gulzar and jagjit singh     ,1
530,the all     too     familiar dramatic arc ,0
531,tackles more than she can handle     ,0
532,     s not just a feel     good movie ,1
533,it has some of the funniest jokes of any movie this year     including those intended for adults ,1
534,is amused by its special effects ,1
535,bad film ,0
536,rough     trade homo     eroticism ,0
537,sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office            or trying to win over a probation officer ,0
538,bodily function jokes ,0
539,     s quite an achievement to set and shoot a movie at the cannes film festival and yet fail to capture its visual appeal or its atmosphere ,0
540,fans will undoubtedly enjoy it     and ,1
541,of absurd plot twists     idiotic court maneuvers and stupid characters ,0
542,meets so many of the challenges it poses for itself that one can forgive the film its flaws     ,1
543,exploitative for the art houses and too cynical     small ,0
544,nothing new ,0
545,more compelling ,1
546,needless chase scenes and swordfights as the revenge unfolds ,0
547,genre     busting ,1
548,truly excellent ,1
549,fact and fancy with such confidence ,1
550,authenticate her british persona ,1
551,oo many of these gross out scenes           ,0
552,messy     uncouth     incomprehensible     vicious and absurd ,0
553,great film noir ,1
554,shreve      s graceful dual narrative gets clunky on the screen     and ,0
555,the most part a useless movie     even with a great director at the helm ,0
556,lend some dignity to a dumb story ,0
557,wimps ,0
558,in some evocative shades ,1
559,than bad ,0
560,rounded and revealing overview ,1
561,a solid movie about people whose lives are anything but ,1
562,amateurish     quasi     improvised acting exercise ,0
563,undramatic ,0
564,so preachy     keen and ,0
565,tired     talky feel ,0
566,noyce      s greatest mistake ,0
567,laborious ,0
568,he      s taken one of the world      s most fascinating stories and made it dull     lifeless     and irritating ,0
569,with brooms and what is kind of special ,1
570,elements of romance     tragedy and even silent     movie comedy ,1
571,a compassionate     moving portrait of an american     and an america     always reaching for something just outside his grasp ,1
572,      kids     cute sentimentality by a warmth that is n     t faked ,1
573,is barely an hour long     ,0
574,it      s better than one might expect when you look at the list of movies starring ice     t in a major role     ,1
575,weighted down with slow     uninvolving storytelling and flat acting ,0
576,draws you in ,1
577,this odd     poetic road movie     spiked by jolts of pop music     ,1
578,it would still be beyond comprehension ,0
579,an       a       list cast and some strong supporting players ,1
580,hopefully inspire action ,1
581,rises to its clever what     if concept     ,1
582,most practiced ,1
583,an uneven look into a grim future that does n     t come close to the level of intelligence and visual splendor that can be seen in other films ,0
584,tacky and reprehensible ,0
585,are poorly ,0
586,     s very beavis and butthead     yet always seems to elicit a chuckle ,1
587,thrills     too many flashbacks and a choppy ending ,0
588,moviegoers for real characters and compelling plots ,1
589,addresses interesting matters of identity and heritage ,1
590,could use a little more humanity ,0
591,you laugh once     maybe twice     ,0
592,be intolerable company ,0
593,i had more fun watching spy than i had with most of the big summer movies     ,1
594,the ups and downs of friendships ,1
595,good b movies ,1
596,is a fine     looking film with a bouncy score and a clutch of lively songs for deft punctuation     ,1
597,with unexpected comedy ,1
598,the young stars are too cute     the story and ensuing complications are too manipulative     ,0
599,of the better video     game     based flicks     ,1
600,caught but the audience gets pure escapism ,1
601,with or without the sex     a wonderful tale of love and destiny     told well by a master storyteller ,1
602,taymor     the avant garde director of broadway      s the lion king and the film titus     brings ,1
603,discovered     indulged in ,1
604,conservative christian parents and ,1
605,keep it interested ,1
606,aging sandeman ,0
607,screenwriting award ,1
608,fumbles the vital action sequences ,0
609,martial arts ,1
610,taken one of the world      s most fascinating stories and made it dull     lifeless     and irritating ,0
611,sickly ,0
612,an autopsy     the movie ,0
613,let this morph into a typical romantic triangle ,0
